id,book_id,word_id,index_no,english,japanese,created_at,updated_at
1,1,1,1,,を創り出す、を引き起こす,,
2,1,2,2,,増加する(⇔decrease)、を増やす,,
3,1,3,3,,を向上させる、よくなる,,
4,1,4,4,,を意味する、(…する)つもりである(to do),,
5,1,5,5,,を所有している、(事実・罪など)を認める,,
6,1,6,6,,を含む(⇔exclude),,
7,1,7,7,,〜をよく考える、を見なす、について考える,,
8,1,8,8,,を許す、を与える、(〜を)考慮に入れる(for),,
9,1,9,9,,を提案する、を暗示する,,
10,1,10,10,,を生産する、を取り出す,,
11,1,11,11,,を決める、に決着をつける,,
12,1,12,12,,を提供する、申し出る,,
13,1,13,13,,を要求する、を必要とする,,
14,1,14,14,,を共有する、を分担する,,
15,1,15,15,,を保存する、を蓄える,,
16,1,16,16,,傾向がある、を世話する,,
17,1,17,17,,(受け身形で)心配している、(受け身形で)(〜に)関係する(with)、に関連する,,
18,1,18,18,,について述べる、を説明する,,
19,1,19,19,,を関与させる、を伴う,,
20,1,20,20,,を減らす、を(〜に)変える(to),,
21,1,21,21,,を設計する、を計画する,,
22,1,22,22,,に強いる、を強要する,,
23,1,23,23,,を制限[規制]する,,
24,1,24,24,,に耐える(≒endure)、を負う、を産む、を(心に)抱く,,
25,1,25,25,,に影響を及ぼす(≒influence)、を感動させる,,
26,1,26,26,,(deal withで)を処理する、(deal inで)を商う、を分配する,,
27,1,27,27,,を避ける,,
28,1,28,28,,を関連付ける、(〜に)関連する(to),,
29,1,29,29,,に気付く、を実現する,,
30,1,30,30,,を奨励する、を励ます(⇔discourage),,
31,1,31,31,,を比較する、を(〜に)例える(to),,
32,1,32,32,,を測る、を(比較して)評価する,,
33,1,33,33,,存在する、生存する,,
34,1,34,34,,に印を付ける、を(記号で)示す、に汚れを付ける,,
35,1,35,35,,に異議を唱える、(人)に挑む,,
36,1,36,36,,頼る、〜次第である,,
37,1,37,37,,反対する、(…)と言って反対する(that節),,
38,1,38,38,,を要求する,,
39,1,39,39,,を設立する、(理論など)を(〜に基づいて)築く(on),,
40,1,40,40,,を完成させる、仕上げる,,
41,1,41,41,,考え、思いつき、理解、見解、概念,,
42,1,42,42,,一致、合意、協定,,
43,1,43,43,,会社、(集合的に)仲間、(仲間と)一緒にいること、一座,,
44,1,44,44,,興味 、利子、利害,,
45,1,45,45,,(〜についての)研究、調査(into / on / in),,
46,1,46,46,,原因(⇔effect)、理由、大義,,
47,1,47,47,,理由、(…する)根拠(to do)、理性、分別,,
48,1,48,48,,影響、効果、結果,,
49,1,49,49,,影響(カ),,
50,1,50,50,,状況、(人の置かれた)立場,,
51,1,51,51,,環境(≒surroundings),,
52,1,52,52,,技能、熟練,,
53,1,53,53,,事柄、問題、(~s)事態、(the ~)困難、物質,,
54,1,54,54,,(〜についての)見解(on / about)、(〜に対する)(特定の)見方(of)、眺め,,
55,1,55,55,,価値、価格、評価、 (~s)価値観,,
56,1,56,56,,(生物の)種、種類,,
57,1,57,57,,考え、思考,,
58,1,58,58,,知識、知っていること、認識,,
59,1,59,59,,記憶(カ) 、 (…の)思い出(of),,
60,1,60,60,,実践、実行、(社会の)慣習、練習,,
61,1,61,61,,利益、恩恵、給付金,,
62,1,62,62,,学説、理論、原理、推測,,
63,1,63,63,,問題(点)、発行(物)、発表,,
64,1,64,64,,(〜を対象とする)実験(on),,
65,1,65,65,,記事、条項、品物,,
66,1,66,66,,焦点、関心の的,,
67,1,67,67,,話題、科目、主題、被験者,,
68,1,68,68,,計画、事業、研究計画,,
69,1,69,69,,質(⇔quantity)、特質,,
70,1,70,70,,役割、(俳優などの)役,,
71,1,71,71,,(専門)用語、(~s)条件、(~s)間柄、学期,,
72,1,72,72,,声明、主張、明細書,,
73,1,73,73,,材料・原料、資料、生地,,
74,1,74,74,,証拠,,
75,1,75,75,,(〜の)源、根源(of)、出所、情報源,,
76,1,76,76,,(共同)社会、〜界、地域社会、地域住民,,
77,1,77,77,,科学技術、応用技術,,
78,1,78,78,,文化、教養、工作、養殖、培養,,
79,1,79,79,,(〜に)適切な(for / to),,
80,1,80,80,,ありそうな(⇔unlikely),,
81,1,81,81,,可能な、可能性のある,,
82,1,82,82,,個々の、個人の,,
83,1,83,83,,公の(⇔private 私的な)、公衆の、公開の,,
84,1,84,84,,共通の、一般の、普通の,,
85,1,85,85,,確信して、確かな、ある、一定の,,
86,1,86,86,,似ている、酷似した、同様の,,
87,1,87,87,,最近の,,
88,1,88,88,,主要な、大きい(ほうの)、長調の,,
89,1,89,89,,忍耐強い、勤勉な,,
90,1,90,90,,特定の、特別の、 (〜について)やかましい(about),,
91,1,91,91,,身体の(⇔mental)、物質的な、物理学の,,
92,1,92,92,,様々な、いくつかの,,
93,1,93,93,,手に入る、利用できる、手が空いている,,
94,1,94,94,,出生地の、原産の、生得の、土着の,,
95,1,95,95,,政治(上)の,,
96,1,96,96,,予定された、、(支払)期日で、しかるべき,,
97,1,97,97,,空白の、無表情な、がらんとした,,
98,1,98,98,,古代の、昔からの,,
99,1,99,99,,正しい、適切な,,
100,1,100,100,,〜にもかかわらず(≒in spite of),,
101,1,101,101,,に気付く,,
102,1,102,102,,言及する、関連する、参照する,,
103,1,103,103,,に近づく、に取り組む,,
104,1,104,104,,かなと思う、(に)驚く(at),,
105,1,105,105,,(を)想像する、(を)推測する ,,
106,1,106,106,,〜と分かる、〜を認める、を識別できる,,
107,1,107,107,,を解く、解明する、(困難など)を解決す,,
108,1,108,108,,起こる、心に浮かぶ、現れる,,
109,1,109,109,,"と主張する(≒claim, maintain)、議論する",,
110,1,110,110,,を主張する、を(自分のものとして)要求する,,
111,1,111,111,,を表す、述べる,,
112,1,112,112,,を引き出す、を引く、を描く、近づく,,
113,1,113,113,,を浪費する、無駄にする,,
114,1,114,114,,進歩する、〜を進歩させる、を進める、進む、(名)進歩,,
115,1,115,115,,を広める、広がる,,
116,1,116,116,,を準備する、を調理する、(〜のために)準備をする(for),,
117,1,117,117,,を獲得する、(を)増す,,
118,1,118,118,,を達成する、を成し遂げる,,
119,1,119,119,,を確立する、を設立する,,
120,1,120,120,,〜を供給する,,
121,1,121,121,,と思う、と仮定する,,
122,1,122,122,,(を)行う、(を)演じる、(を)演奏する,,
123,1,123,123,,〜のほうを好む,,
124,1,124,124,,を決定する、を正確に知る,,
125,1,125,125,,を扱う、を治療する,,
126,1,126,126,,を証明する、判明する、わかる,,
