id,master_word_id,translation,created_at,updated_at
1,2535,その,,
2,2536,〜へ,,
3,2537,私は,,
4,2538,１つの、ある（不特定の）,,
5,2539,〜の中に,,
6,2540,そして、〜と〜,,
7,2541,あなたは、あなたに（を）,,
8,2542,〜である、〜がいる,,
9,2543,〜の,,
10,2544,それは、それを,,
11,2545,〜を持っている、〜を食べる,,
12,2546,〜でない,,
13,2547,"〜だった、〜があった（am, isの過去形）",,
14,2548,あれ、それ,,
15,2549,〜のために,,
16,2550,彼は,,
17,2551,（〜を）する,,
18,2552,（二人称、または複数を主語として）〜である、〜がある,,
19,2553,私たちは,,
20,2554,〜について,,
21,2555,〜だろう、〜するつもりだ,,
22,2556,彼らは、それらは,,
23,2557,人々,,
24,2558,彼女は,,
25,2559,〜で,,
26,2560,〜できる,,
27,2561,私の,,
28,2562,行く,,
29,2563,〜と一緒に,,
30,2564,（〜と）言う,,
31,2565,しかし,,
32,2566,〜（の上）に,,
33,2567,〜が欲しい,,
34,2568,いつ,,
35,2569,そこに、そこで,,
36,2570,これ、この,,
37,2571,何,,
38,2572,そんなに,,
39,2573,〜から,,
40,2574,彼女の、彼女に（を）,,
41,2575,彼の,,
42,2576,（〜と）思う,,
43,2577,"do, doesの過去形",,
44,2578,〜を作る,,
45,2579,非常に,,
46,2580,わたしに（を）,,
47,2581,〜が好きである,,
48,2582,〜が見える,,
49,2583,たくさんの,,
50,2584,１つ,,
51,2585,〜なので,,
52,2586,彼（彼女）らを（に）、それらを（に）,,
53,2587,〜である、〜がある（be動詞の原形）,,
54,2588,いくつかの,,
55,2589,どうやって,,
56,2590,学校,,
57,2591,時間、時刻,,
58,2592,あなたの,,
59,2593,（〜を）知っている,,
60,2594,（単数の一人称を主語として）〜である、〜がある,,
61,2595,よい,,
62,2596,〜を得る,,
63,2597,areの過去形,,
64,2598,１日、昼間,,
65,2599,より多くの,,
66,2600,彼（彼女）らの、それらの,,
67,2601,もの,,
68,2602,〜を使う,,
69,2603,〜のように,,
70,2604,来る,,
71,2605,ほかの,,
72,2606,見る,,
73,2607,〜を取る,,
74,2608,年,,
75,2609,〜で、〜によって,,
76,2610,私たちの,,
77,2611,生徒,,
78,2612,話す,,
79,2613,〜さん,,
80,2614,全部の,,
81,2615,英語、英国人,,
82,2616,今,,
83,2617,日本語、日本人、日本の,,
84,1909,とわかる、を見つける,,
85,2618,もし〜なら,,
86,2619,（〜に）…を話す,,
87,2620,彼に（を）,,
88,2621,はい,,
89,2622,〜のあとに,,
90,2227,働く、機能する(≒function),,
91,2623,または〜,,
92,2624,だれ,,
93,2625,日本,,
94,2626,最初の,,
95,2627,たくさん,,
96,2628,〜することが出来た（canの過去形）,,
97,2629,そのとき,,
98,2630,〜を与える,,
99,2631,（〜を）学ぶ,,
100,2632,私たちに（を）,,
101,2633,（〜を）助ける,,
102,2634,〜もまた,,
103,2635,じょうずに,,
104,2636,〜すべきだ,,
105,2637,本,,
106,2638,（〜に）…をたずねる,,
107,2639,友達,,
108,2640,［スポーツ］をする、遊ぶ,,
109,2641,〜よりも,,
110,2642,なぜ,,
111,2643,〜もまた,,
112,2644,〜を楽しむ,,
113,2645,（〜を）勉強する,,
114,2646,男の人,,
115,2647,古い、年上の,,
116,2648,少しも〜ない,,
117,2649,質問,,
118,2240,道、(…する)方法(to do /  of doing),,
119,2650,国,,
120,2651,２つの、２,,
121,2652,次の,,
122,2653,食べ物,,
123,2654,〜になる,,
124,2655,（〜を）試みる,,
125,2656,（〜を）読む,,
126,2657,多量の,,
127,2658,新しい,,
128,2659,〜に感謝する,,
129,2660,住む,,
130,2661,始まる,,
131,2662,幸せな,,
132,1911,右の、権利、右、正しいこと,,
133,2663,本当に,,
134,2664,子ども,,
135,2665,何か,,
136,2666,世界,,
137,2667,〜を必要とする,,
138,2668,重要な,,
139,2669,長い,,
140,2670,いのち,,
141,2671,（〜を）食べる,,
142,2672,上へ,,
143,2673,どちら,,
144,2674,ただ１つの,,
145,2675,〜を訪れる,,
146,2676,（〜に）…を見せる,,
147,2677,母（親）,,
148,2678,どの〜も,,
149,2679,最後の,,
150,2680,家庭,,
151,2681,高い,,
152,2682,〜の前に,,
153,2683,父（親）,,
