id,id19,waiTranslate,created_at,updated_at
1,1,を創り出す、を引き起こす,,
2,2,増加する(⇔decrease)、を増やす,,
3,3,を向上させる、よくなる,,
4,4,を意味する、(…する)つもりである(to do),,
5,5,を所有している、(事実・罪など)を認める,,
6,6,を含む(⇔exclude),,
7,7,〜をよく考える、を見なす、について考える,,
8,8,を許す、を与える、(〜を)考慮に入れる(for),,
9,9,を提案する、を暗示する,,
10,10,を生産する、を取り出す,,
11,11,を決める、に決着をつける,,
12,12,を提供する、申し出る,,
13,13,を要求する、を必要とする,,
14,14,を共有する、を分担する,,
15,15,を保存する、を蓄える,,
16,16,傾向がある、を世話する,,
17,17,(受け身形で)心配している、(受け身形で)(〜に)関係する(with)、に関連する,,
18,18,について述べる、を説明する,,
19,19,を関与させる、を伴う,,
20,20,を減らす、を(〜に)変える(to),,
21,21,を設計する、を計画する,,
22,22,に強いる、を強要する,,
23,23,を制限[規制]する,,
24,24,に耐える(≒endure)、を負う、を産む、を(心に)抱く,,
25,25,に影響を及ぼす(≒influence)、を感動させる,,
26,26,(deal withで)を処理する、(deal inで)を商う、を分配する,,
27,27,を避ける,,
28,28,を関連付ける、(〜に)関連する(to),,
29,29,に気付く、を実現する,,
30,30,を奨励する、を励ます(⇔discourage),,
31,31,を比較する、を(〜に)例える(to),,
32,32,を測る、を(比較して)評価する,,
33,33,存在する、生存する,,
34,34,に印を付ける、を(記号で)示す、に汚れを付ける,,
35,35,に異議を唱える、(人)に挑む,,
36,36,頼る、〜次第である,,
37,37,反対する、(…)と言って反対する(that節),,
38,38,を要求する,,
39,39,を設立する、(理論など)を(〜に基づいて)築く(on),,
40,40,を完成させる、仕上げる,,
41,41,考え、思いつき、理解、見解、概念,,
42,42,一致、合意、協定,,
43,43,会社、(集合的に)仲間、(仲間と)一緒にいること、一座,,
44,44,興味 、利子、利害,,
45,45,(〜についての)研究、調査(into / on / in),,
46,46,原因(⇔effect)、理由、大義,,
47,47,理由、(…する)根拠(to do)、理性、分別,,
48,48,影響、効果、結果,,
49,49,影響(カ),,
50,50,状況、(人の置かれた)立場,,
51,51,環境(≒surroundings),,
52,52,技能、熟練,,
53,53,事柄、問題、(~s)事態、(the ~)困難、物質,,
54,54,(〜についての)見解(on / about)、(〜に対する)(特定の)見方(of)、眺め,,
55,55,価値、価格、評価、 (~s)価値観,,
56,56,(生物の)種、種類,,
57,57,考え、思考,,
58,58,知識、知っていること、認識,,
59,59,記憶(カ) 、 (…の)思い出(of),,
60,60,実践、実行、(社会の)慣習、練習,,
61,61,利益、恩恵、給付金,,
62,62,学説、理論、原理、推測,,
63,63,問題(点)、発行(物)、発表,,
64,64,(〜を対象とする)実験(on),,
65,65,記事、条項、品物,,
66,66,焦点、関心の的,,
67,67,話題、科目、主題、被験者,,
68,68,計画、事業、研究計画,,
69,69,質(⇔quantity)、特質,,
70,70,役割、(俳優などの)役,,
71,71,(専門)用語、(~s)条件、(~s)間柄、学期,,
72,72,声明、主張、明細書,,
73,73,材料・原料、資料、生地,,
74,74,証拠,,
75,75,(〜の)源、根源(of)、出所、情報源,,
76,76,(共同)社会、〜界、地域社会、地域住民,,
77,77,科学技術、応用技術,,
78,78,文化、教養、工作、養殖、培養,,
79,79,(〜に)適切な(for / to),,
80,80,ありそうな(⇔unlikely),,
81,81,可能な、可能性のある,,
82,82,個々の、個人の,,
83,83,公の(⇔private 私的な)、公衆の、公開の,,
84,84,共通の、一般の、普通の,,
85,85,確信して、確かな、ある、一定の,,
86,86,似ている、酷似した、同様の,,
87,87,最近の,,
88,88,主要な、大きい(ほうの)、長調の,,
89,89,忍耐強い、勤勉な,,
90,90,特定の、特別の、 (〜について)やかましい(about),,
91,91,身体の(⇔mental)、物質的な、物理学の,,
92,92,様々な、いくつかの,,
93,93,手に入る、利用できる、手が空いている,,
94,94,出生地の、原産の、生得の、土着の,,
95,95,政治(上)の,,
96,96,予定された、、(支払)期日で、しかるべき,,
97,97,空白の、無表情な、がらんとした,,
